Answer,Email,First name,Last name,Age,Sex,Answer time,Answer device,Answer browser
va bene,a@a,a,a,0,Male,2016-09-06 13:10:57,Mac OS,Safari
va bene,a@a,a,a,0,Male,2016-09-06 13:19:14,Mac OS,Safari
va bene,a@a,a,a,0,Male,2016-09-06 13:21:48,Mac OS,Safari
va bene,a@a,a,a,0,Male,2016-09-06 13:38:00,iPhone,Mobile App
va bene,a@a,a,a,0,Male,2016-09-06 13:38:34,Mac OS,Safari
va bene,a@a,a,a,0,Male,2016-09-06 13:38:49,iPhone,Mobile App
va bene,a@a,a,a,0,Male,2016-09-06 13:39:31,Mac OS,Safari
va bene,a@a,a,a,0,Male,2016-09-06 13:39:39,iPhone,Mobile App
va bene,a@a,a,a,0,Male,2016-09-06 13:44:58,Mac OS,Safari
va bene,a@a,a,a,0,Male,2016-09-06 16:13:06,iPhone,Mobile App
ok,a@a,a,a,0,Male,2016-09-06 16:30:56,iPhone,Mobile App
va bene,a@a,a,a,0,Male,2016-09-06 18:04:31,iPhone,Mobile App
va bene,a@a,a,a,0,Male,2016-09-06 18:05:59,iPhone,Mobile App
ok,a@a,a,a,0,Male,2016-09-06 18:07:21,iPhone,Mobile App
ok,a@a,a,a,0,Male,2016-09-06 18:09:49,iPhone,Mobile App
va bene,a@a,a,a,0,Male,2016-09-06 18:09:55,iPhone,Mobile App
ok,a@a,a,a,0,Male,2016-09-06 18:25:18,iPhone,Mobile App
va bene,a@a,a,a,0,Male,2016-09-06 19:15:06,iPhone,Mobile App
va bene,a@a,a,a,0,Male,2016-09-07 18:18:04,Mac OS,Safari
ok,a@a,a,a,0,Male,2016-09-07 18:18:52,Mac OS,Safari
ok,a@a,a,a,0,Male,2016-09-07 18:18:58,Mac OS,Safari
ok,a@a,a,a,0,Male,2016-09-07 18:19:07,iPhone,Mobile App
